id,title,category,categoryDisplay,description,result,image
1,Gaming Stream Thumbnail,thumbnail,YouTube Thumbnail,High-impact gaming thumbnail with bold typography,40% CTR Increase,https://i.ibb.co/3myqjsh4/Thumbnail-9.png
2,Explore Ceylon Paradise,promotion,Promotional Design,Travel promotion campaign highlighting Sri Lanka,55% Engagement,https://i.ibb.co/NnnzvCb9/We-Are-Ready.png
3,Cooking Show Thumbnail,thumbnail,YouTube Thumbnail,Appetizing thumbnail design for cooking channel,Views doubled,https://i.ibb.co/bgLxY70j/One-Armed-Cook-Thumb-1.png
4,Tomb Raider,thumbnail,YouTube Thumbnail,Created For My Own,Hyped My Live,https://i.ibb.co/Rp4944Hk/Tomb-Raider-Thumbnail-2.png
5,Tomb Raider,thumbnail,YouTube Thumbnail,Created For My Own,Hyped My Live,https://i.ibb.co/KcVb5CVn/Tomb-Raider-Thumbnail-1.png
6,The Forest,thumbnail,YouTube Thumbnail,Created For My Own,Hyped My Live,https://i.ibb.co/DHFgzYkf/Forest-Thumbnail-Apex.png
7,FiveM Live Stream,thumbnail,YouTube Thumbnail,Created For Mr TL,Hyped the Stream,https://i.ibb.co/8Lb0wWZp/Thumbnail-1.png
8,Red Dead Redemption,thumbnail,YouTube Thumbnail,Created For RanDineX,Hyped The Stream,https://i.ibb.co/YqHNtkK/Thumbnail-7-1.png
9,Graphic Desiner Post,social,Social Media,Created For My Own,Promotional,https://i.ibb.co/WWFt8Xs3/Ken-G-Graphic-X-Post.png
10,Food Promotional,social,Social Media,Created As a Sample,Promotional,https://i.ibb.co/QvGdZHww/Ramen-Promotion.png
11,FiveM Live Stream,thumbnail,YouTube Thumbnail,Created Towards RanDineX,Hyped,https://i.ibb.co/GfmtSybk/Thumbnail-3.png
12,MTA:SA Live Stream,thumbnail,YouTube Thumbnail,Created For My Own,Hyped ,https://i.ibb.co/Dff5ZVzS/Thumbnail-5.jpg
13,Apex Computers PC Builds,social,Social Media,Created For A PC Shop,Promotional,https://i.ibb.co/60M2hkFD/Apex-I5-3-TH-PC-Build.png
14,Apex Computers PC Builds,social,Social Media,Created For A PC Shop,Promotional,https://i.ibb.co/mw88qpb/Apex-PC-Build.png
15,Eliora Clothing Store Offers,social,Social Media,Created for Clothing Store,Promotional,https://i.ibb.co/Q7pLWn29/Eliora-Post-2-with-wm.png
16,ShiftLK Netch Solutions Post,social,Social Media,Created For Our ShiftLK Netch Solutions,Promotional,https://i.ibb.co/9mgbDhbb/SLKN-Post.png
17,WrapX Networks,social,Social Media,Created Towards WrapX ,Promotional,https://i.ibb.co/XfxgLQNW/Canva-Post.png
18,FiveM Live Stream,thumbnail,YouTube Thumbnail,Created Towards Some Kolla Streams,Hyped The Stream,https://i.ibb.co/p6gSCdkH/Thumbnail-1.png
